Variable:,tasmax
Country:,Türkiye
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1988,3.88,5.34,8.34,14.82,20.61,24.51,29.13,28.97,25.22,17.12,7.58,5.79
1989,2.01,5.42,12.04,20.27,21.79,25.54,29.48,30.15,25.13,17.09,10.99,4.72
1990,1.94,5.43,11.58,15.22,20.32,25.31,29.62,28.79,25.17,19.55,13.83,7.19
1991,3.45,3.70,10.05,15.36,18.72,25.43,28.88,28.98,25.22,19.50,11.84,2.91
1992,0.77,0.90,6.97,15.29,19.20,23.71,26.74,29.34,23.99,21.17,10.71,2.52
1993,1.98,2.70,9.00,14.79,18.50,24.98,28.82,29.28,25.86,21.10,8.49,7.00
1994,6.17,5.08,10.33,17.90,21.58,25.35,29.11,29.44,28.47,20.90,10.17,3.07
1995,4.60,7.87,10.59,14.26,21.75,26.51,27.97,29.27,25.08,17.81,9.24,5.34
1996,3.27,6.38,7.40,13.31,22.30,25.50,30.00,29.13,23.90,17.23,13.58,8.47
1997,5.61,4.51,7.13,12.43,22.13,25.46,28.73,27.54,23.10,18.10,12.33,6.27
1998,3.93,5.84,8.20,17.22,20.18,26.31,30.31,31.28,25.73,20.89,13.97,6.83
1999,6.29,7.22,10.58,16.41,22.42,25.86,29.85,30.35,25.70,19.93,12.20,8.60
2000,1.94,4.60,8.98,17.20,20.87,26.26,31.88,29.59,25.81,18.15,14.02,6.80
2001,5.78,7.69,15.04,16.75,19.94,27.07,31.09,30.67,27.11,19.94,11.05,5.46
2002,1.90,8.85,12.10,13.84,20.86,25.93,30.14,28.62,25.36,20.19,13.58,2.62
2003,6.34,2.76,6.81,14.07,23.10,26.70,29.59,30.65,24.75,20.54,11.82,5.57
2004,3.85,5.78,11.73,15.76,20.11,25.63,29.44,29.37,26.50,21.00,11.80,5.06
2005,5.08,5.06,9.92,16.30,21.24,25.19,30.41,30.55,25.32,17.71,10.75,7.70
2006,2.27,5.47,11.25,16.57,21.30,27.25,28.84,32.06,25.38,18.90,11.03,5.21
2007,4.33,6.23,10.65,13.72,23.24,27.54,30.98,30.83,27.08,20.87,11.24,5.07
2008,1.38,4.35,14.01,18.53,20.71,26.89,30.51,31.43,25.79,19.37,13.47,5.52
2009,4.61,6.74,9.44,15.23,21.20,27.02,29.23,29.14,24.23,21.63,12.35,8.69
